AhmedabadCenter,VAAH
MumbaiRadar,VABB
MumbaiCenter,VABF
Kolkataradar,VECC
CalcuttaCenter,VECF
DelhiCenter,VIDF
DelhiRadar,VIDP
BangaloreRadar,VOBL
HyderabadRadar,VOHS
ChennaiCenter,VOMF
ChennaiRadar,VOMM
Vadodara,VABD
BombayFIC,VABF
Bilaspur,VABI
Jabalpur,VAJB
Mandasaur,VAMS
Nanded,VAND
Pratapgarh,VAPG
Sihora,VASA
Songadh,VASG
Washim,VAWM
Along,VEAN
Berachampa,VEBC
Balurghat,VEBG
Barbil,VEBL
CalcuttaFIC,VECF
CarNicobar,VECX
Malda,VEHM
Kathinar,VEKH
Keonjhar,VEKJ
Konark,VEKN
Khowai,VEKW
PortBlair,VEPB
Phulbani,VEPN
Padampur,VEPP
Ranuua,VERA
Rayaguda,VERG
Rangeilunda,VERN
Tezu,VETJ
Tarkeshwar,VETK
Tusra,VETS
Indore,VIAD
Aligarh,VIAH
Banihal,VIBH
Dadri,VIDR
Imphal/Tulihal,VIEM
Farrukhabad,VIFB
Faridkot,VIFD
Ferojpur,VIFZ
Kud,VIKD
Lalitpur,VILP
Moga,VIMG
Nuh,VINH
Narnaul,VINL
n/a,VIPX
Qazigund,VIQG
Reengus,VIRG
Sikandrabad,VISB
UdaipurDabok,VIUD
Dunakonda,VODK
Gulbarga,VOGB
Khamampet,VOKM
Kanchepuram,VOKP
Kavaratti,VOKV
Magadi,VOMG
Mahad,VOMH
Neyveli,VONV
Ramagundam,VORG
Ramnad,VORM
Raichur,VORR
Ootacmund,VOTY
Vikarabad,VOVB
Vellore,VOVR
Ahmedabad,VAAH
Akola,VAAK
Aurangabad/Chikkalthana,VAAU
Mumbai,VABB
Bilaspur,VABI
Bhuj,VABJ
Vadodara,VABO
Bhopal/Bairagarh,VABP
Bhavnagar,VABV
Daman,VADN
Deesa,VADS
Guna,VAGN
n/a,VAHB
Indore,VAID
Jabalpur,VAJB
Mumbai/Juhu,VAJJ
Jamnagar,VAJM
Khandwa,VAKD
Kandla/Gandhidham,VAKE
Khajuraho,VAKJ
Kolhapur,VAKP
Keshod,VAKS
Nagpur/Sonegaon,VANP
NasikRoad,VANR
n/a,VAOZ
Pune/Poona,VAPO
Porbandar,VAPR
Ratnagiri,VARG
Rajkot,VARK
Raipur,VARP
Shella,VASL
Surat,VASU
Udaipur,VAUD
Agartala,VEAT
Aizal/turial,VEAZ
CalcuttaBehala,VEBA
Baghdogra,VEBD
Shillong,VEBI
Bokaro,VEBK
n/a,VEBR
Bhubaneswar,VEBS
Calcutta/NSChandraBoseInt,VECC
Chakulia,VECK
CoochBehar,VECO
Dhanbad,VEDB
Deparijo,VEDZ
Gorakhpur,VEGK
Guwahati,VEGT
Gaya,VEGY
Hirakud,VEHK
Imphal/Tulihal,VEIM
Jharsuguda,VEJH
Jeypore,VEJP
Jamshedpur,VEJS
Jorhat,VEJT
Kamalpur,VEKM
Kailashahar,VEKR
Kumbhirgram/Silchar,VEKU
Lengpui,VELP
NorthLakhimpur/Lilabari,VELR
Malda,VEMH
Dibrugarh/Mohanbari,VEMN
Dimapur/ManipurRoad,VEMR
Muzaffarpur,VEMZ
Nawapara,VENP
Pasighat,VEPG
Panagarh,VEPH
Patna,VEPT
Purnea,VEPU
Ranchi,VERC
Rourkela,VERK
Raxaul,VERL
Rupsi,VERU
Tezpur/Salonbari,VETZ
Utkela,VEUK
Visakhapatnam,VEVZ
Zero,VEZO
Bharkot,VI1Y
Agra/Kheria,VIAG
Allahabad,VIAL
Amritsar,VIAR
Bikaner,VIBK
BakshiKaTalab,VIBL
Varanasi/Babatpur,VIBN
Kulu/Bhuntar,VIBR
Bhatinda,VIBT
Bhiwani,VIBW
Bareilly,VIBY
Chandigarh,VICG
Kanpur/Chakeri,VICX
Delhi/Safdarjung,VIDD
DelhiFIC,VIDF
Dehradun,VIDN
DelhiIntl/IndiraGandhi,VIDP
DelhiSafdarjung,VIDX
Guna,VIGN
Gwalior/Maharajpur,VIGR
Hissar,VIHR
Jhansi,VIJN
Jodhpur,VIJO
Jaipur/Sanganeer,VIJP
Jaiselmer,VIJR
Jammu/Satwari,VIJU
Kanpur,VIKA
KargilAirforceBase,VIKL
Kota,VIKO
Ludhiana,VILD
Leh,VILH
Lucknow,VILK
Pathankot,VIPK
Patiala,VIPL
NainitalPantnagar/Nanital,VIPT
Raibarelli,VIRB
Shimla,VISM
Saharanpur,VISP
Srinagar,VISR
Satna,VIST
Udhampur,VIUX
Arkonam,VOAR
Aggati,VOAT
Bangalore/Hindustan,VOBG
Bellary,VOBI
BangaloreInternationalAirport,VOBL
Belgaum,VOBM
Bidar,VOBR
Vijayawada,VOBZ
Coimbatore,VOCB
Cochin,VOCC
Cochininternationalairport,VOCI
Calicut/Karipur,VOCL
Cuddapah,VOCP
CarNicobar,VOCX
Dundigul/AirForceAcademy,VODG
Goa/Dabolim,VOGO
RajivGandhiInternationalAirport,VOHS
Hyderabad/Begumpet,VOHY
Madurai,VOMD
MadrasFIC,VOMF
Mangalore/Bajpe,VOML
ChennaiCityIntl,VOMM
Mysore,VOMY
Nagarjunsagar,VONS
PortBlair,VOPB
Pondicherry,VOPC
SriSathyasai,VOPN
Rajahmundry,VORY
Salem,VOSM
Tanjore,VOTJ
Tirupati,VOTP
Tiruchirapally/Civil,VOTR
Trivandrum,VOTV
Tambaram,VOTX
VisakhapatnamInternationalAirport,VOVZ
Warrangal,VOWA
Yelahanka/YelahankaAB,VOYK
Paro,VQPR
AHMADABAD,VAAH
AKOLAAIRPORT,VAAK
AURANGABADAIRPO,VAAU
BOMBAY/SANTACRUZ,VABB
BILASPUR,VABI
BHUJ-RUDRAMATA(A,VABJ
BELGAUM/SAMBRA,VABM
BHOPAL/BAIRAGARH,VABP
BHAUNAGAR,VABV
GOA/DABOLIM(NAV,VAGO
GOA/DABOLIM(NAV,VOGO
INDORE,VAID
JABALPUR,VAJB
BOMBAY/JUHU,VAJJ
JAMNAGAR(IN-AFB,VAJM
KHANDWA,VAKD
KANDLAAERODROME,VAKE
KOLHAPUR,VAKP
NAGPURSONEGAON,VANP
PUNE/POONA(IN-A,VAPO
PORBANDAR,VAPR
RAJKOT,VARK
RAIPUR,VARP
SHOLAPUR,VASL
AGARTALA,VEAT
BAGHDOGRA(IN-AF,VEBD
BHUBANESWAR,VEBS
CALCUTTA/DUMDUM,VECC
CARNICOBAR(IN-A,VECX
GORAKHPUR(IN-AF,VEGK
GAUHATI(IN-AFB),VEGT
GAYA,VEGY
IMPHAL/TULIHAL,VEIM
JHARSUGUDA,VEJH
JAMSHEDPUR(PRIVA,VEJS
NORTHLAKHIMPUR/,VELR
MALDA,VEMH
DIBRUGARH/MOHANB,VEMN
PORTBLAIR,VEPB
PATNA,VEPT
RANCHI,VERC
ROURKELA(PRIVAT,VERK
